DH_CARGA,SITUACAO,JORNADA,ESCOLARIDADE_ITEM,ESCOLARIDADE,DESCR_CARGO,GRUPO_CARGO,TIPO_CARGO,LOTACAO,LOTACAO_DESCR,REGIME_JUR,NUM_SERVIDORES
2018-12-11 19:33:05.023159,Ativo,40h,8,2 Grau Completo ou Técnico,Auxiliar de Nutrição e Dietética                            ,Classe B (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,12,Especialização,Engenheiro-Area                                             ,Classe E (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,9
2018-12-11 19:33:05.023159,Ativo,40h,13,Mestrado,Engenheiro-Area                                             ,Classe E (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,13
2018-12-11 19:33:05.023159,Ativo,40h,12,Especialização,Jardineiro                                                  ,Classe B (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,8,2 Grau Completo ou Técnico,Contramestre-Ofício                                         ,Classe C (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,2
2018-12-11 19:33:05.023159,Ativo,40h,12,Especialização,Contramestre-Ofício                                         ,Classe C (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,3,1 Grau Incompleto até 4 Série Incompleta,Copeiro                                                     ,Classe B (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,4,1 Grau Incompleto até 4 Série Completa,Copeiro                                                     ,Classe B (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,5,1 Grau Incompleto 5 Série a 8 Incompleto,Copeiro                                                     ,Classe B (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,6,1 Grau Completo - Até 8 Série Completo,Copeiro                                                     ,Classe B (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,3
2018-12-11 19:33:05.023159,Ativo,40h,8,2 Grau Completo ou Técnico,Copeiro                                                     ,Classe B (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,4
2018-12-11 19:33:05.023159,Ativo,40h,10,Sup. Compl. ou Habilitação Legal Eq.,Copeiro                                                     ,Classe B (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,2
2018-12-11 19:33:05.023159,Ativo,40h,14,Doutorado,Pedagogo-Área                                               ,Classe E (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,8,2 Grau Completo ou Técnico,Pedreiro                                                    ,Classe B (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,8,2 Grau Completo ou Técnico,Linotipista                                                 ,Classe C (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,13,Mestrado,Técnico em Contabilidade                                    ,Classe D (PCCTAE),Técnico-Administrativo em Educação,HUSM,HOSPITAL UNIVERSITÁRIO DE SANTA MARIA - HUSM,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,8,2 Grau Completo ou Técnico,Técnico em Eletrotécnica                                    ,Classe D (PCCTAE),Técnico-Administrativo em Educação,HUSM,HOSPITAL UNIVERSITÁRIO DE SANTA MARIA - HUSM,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,8,2 Grau Completo ou Técnico,Técnico em Enfermagem                                       ,Classe D (PCCTAE),Técnico-Administrativo em Educação,HUSM,HOSPITAL UNIVERSITÁRIO DE SANTA MARIA - HUSM,Regime Jurídico Único,42
2018-12-11 19:33:05.023159,Ativo,40h,9,Superior Incompleto,Técnico em Enfermagem                                       ,Classe D (PCCTAE),Técnico-Administrativo em Educação,HUSM,HOSPITAL UNIVERSITÁRIO DE SANTA MARIA - HUSM,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,10,Sup. Compl. ou Habilitação Legal Eq.,Técnico em Enfermagem                                       ,Classe D (PCCTAE),Técnico-Administrativo em Educação,HUSM,HOSPITAL UNIVERSITÁRIO DE SANTA MARIA - HUSM,Regime Jurídico Único,61
2018-12-11 19:33:05.023159,Ativo,40h,12,Especialização,Técnico em Enfermagem                                       ,Classe D (PCCTAE),Técnico-Administrativo em Educação,HUSM,HOSPITAL UNIVERSITÁRIO DE SANTA MARIA - HUSM,Regime Jurídico Único,125
2018-12-11 19:33:05.023159,Ativo,40h,13,Mestrado,Técnico em Enfermagem                                       ,Classe D (PCCTAE),Técnico-Administrativo em Educação,HUSM,HOSPITAL UNIVERSITÁRIO DE SANTA MARIA - HUSM,Regime Jurídico Único,5
2018-12-11 19:33:05.023159,Ativo,40h,7,2 Grau Incompleto,Técnico em Farmácia                                         ,Classe D (PCCTAE),Técnico-Administrativo em Educação,HUSM,HOSPITAL UNIVERSITÁRIO DE SANTA MARIA - HUSM,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,10,Sup. Compl. ou Habilitação Legal Eq.,Técnico em Farmácia                                         ,Classe D (PCCTAE),Técnico-Administrativo em Educação,HUSM,HOSPITAL UNIVERSITÁRIO DE SANTA MARIA - HUSM,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,4,1 Grau Incompleto até 4 Série Completa,Operador de Máquinas Agrícolas                              ,Classe C (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,8,2 Grau Completo ou Técnico,Operador de Máquinas de Terraplanagem                       ,Classe C (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,13,Mestrado,Pedagogo-Área                                               ,Classe E (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,3
2018-12-11 19:33:05.023159,Ativo,DE,13,Mestrado,"PROFESSOR ENSINO BÁSICO, TÉCNICO E TECNOLÓGICO              ",Magistério do Ensino Básico Técnico e Tecnológico,Docente,CTISM,COLÉGIO TÉCNICO INDUSTRIAL DE SANTA MARIA,Regime Jurídico Único,25
2018-12-11 19:33:05.023159,Ativo,DE,14,Doutorado,"PROFESSOR ENSINO BÁSICO, TÉCNICO E TECNOLÓGICO              ",Magistério do Ensino Básico Técnico e Tecnológico,Docente,CTISM,COLÉGIO TÉCNICO INDUSTRIAL DE SANTA MARIA,Regime Jurídico Único,29
2018-12-11 19:33:05.023159,Ativo,40h,10,Sup. Compl. ou Habilitação Legal Eq.,Auxiliar de Nutrição e Dietética                            ,Classe B (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,10,Sup. Compl. ou Habilitação Legal Eq.,Auxiliar de Saúde                                           ,Classe C (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,9,Superior Incompleto,Sonoplasta                                                  ,Classe C (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,12,Especialização,Sonoplasta                                                  ,Classe C (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,2
2018-12-11 19:33:05.023159,Ativo,40h,12,Especialização,Técnico de Laboratório Área                                 ,Classe D (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,7,2 Grau Incompleto,Técnico de Tecnologia da Informação                         ,Classe D (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,10,Sup. Compl. ou Habilitação Legal Eq.,Marceneiro                                                  ,Classe B (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,12,Especialização,Marceneiro                                                  ,Classe B (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,5,1 Grau Incompleto 5 Série a 8 Incompleto,Mecânico                                                    ,Classe C (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,8,2 Grau Completo ou Técnico,Mecânico                                                    ,Classe C (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,10,Sup. Compl. ou Habilitação Legal Eq.,Mecânico                                                    ,Classe C (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,12,Especialização,Mecânico                                                    ,Classe C (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,5,1 Grau Incompleto 5 Série a 8 Incompleto,Mestre de Edificações e Infraestrutura                      ,Classe D (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,8,2 Grau Completo ou Técnico,Mestre de Edificações e Infraestrutura                      ,Classe D (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,12,Especialização,Recepcionista                                               ,Classe C (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,7
2018-12-11 19:33:05.023159,Ativo,40h,13,Mestrado,Recepcionista                                               ,Classe C (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,14,Doutorado,Recepcionista                                               ,Classe C (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Exercício Provisório,DE,14,Doutorado,"PROFESSOR ENSINO BÁSICO, TÉCNICO E TECNOLÓGICO              ",Magistério do Ensino Básico Técnico e Tecnológico,Docente,CTISM,COLÉGIO TÉCNICO INDUSTRIAL DE SANTA MARIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,DE,13,Mestrado,PROFESSOR DO MAGISTÉRIO SUPERIOR                            ,Professor Ensino Superior,Docente,FREDERICO,CAMPUS DA UNIVERSIDADE FEDERAL DE SANTA MARIA - FREDERICO WESTPHALEN,Regime Jurídico Único,8
2018-12-11 19:33:05.023159,Ativo,40h,10,Sup. Compl. ou Habilitação Legal Eq.,Servente de Obras                                           ,Classe A (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,3
2018-12-11 19:33:05.023159,Ativo,40h,8,2 Grau Completo ou Técnico,Sonoplasta                                                  ,Classe C (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,2
2018-12-11 19:33:05.023159,Ativo,40h,7,2 Grau Incompleto,Técnico em Artes Gráficas                                   ,Classe D (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,8,2 Grau Completo ou Técnico,Técnico em Artes Gráficas                                   ,Classe D (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,2
2018-12-11 19:33:05.023159,Ativo,40h,10,Sup. Compl. ou Habilitação Legal Eq.,Técnico em Artes Gráficas                                   ,Classe D (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,3
2018-12-11 19:33:05.023159,Ativo,40h,12,Especialização,Técnico em Assuntos Educacionais                            ,Classe E (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,7
2018-12-11 19:33:05.023159,Ativo,40h,13,Mestrado,Técnico em Assuntos Educacionais                            ,Classe E (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,10
2018-12-11 19:33:05.023159,Ativo,40h,14,Doutorado,Técnico em Assuntos Educacionais                            ,Classe E (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,4
2018-12-11 19:33:05.023159,Ativo,40h,10,Sup. Compl. ou Habilitação Legal Eq.,Técnico em Audiovisual                                      ,Classe D (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,2
2018-12-11 19:33:05.023159,Ativo,40h,10,Sup. Compl. ou Habilitação Legal Eq.,Técnico em Contabilidade                                    ,Classe D (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,2
2018-12-11 19:33:05.023159,Ativo,40h,12,Especialização,Técnico em Contabilidade                                    ,Classe D (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,8
2018-12-11 19:33:05.023159,Ativo,40h,13,Mestrado,Técnico em Contabilidade                                    ,Classe D (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,4
2018-12-11 19:33:05.023159,Ativo,40h,8,2 Grau Completo ou Técnico,Técnico em Edificações                                      ,Classe D (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,10,Sup. Compl. ou Habilitação Legal Eq.,Técnico em Eletrotécnica                                    ,Classe D (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,2
2018-12-11 19:33:05.023159,Ativo,40h,10,Sup. Compl. ou Habilitação Legal Eq.,Técnico em Segurança do Trabalho                            ,Classe D (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,2
2018-12-11 19:33:05.023159,Ativo,40h,12,Especialização,Técnico em Segurança do Trabalho                            ,Classe D (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,2
2018-12-11 19:33:05.023159,Ativo,40h,13,Mestrado,Técnico em Segurança do Trabalho                            ,Classe D (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,10,Sup. Compl. ou Habilitação Legal Eq.,Técnico em Telecomunicação                                  ,Classe D (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,12,Especialização,Técnico Equipamento Médico Odontológico                     ,Classe D (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,13,Mestrado,Tradutor Interprete                                         ,Classe E (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,2
2018-12-11 19:33:05.023159,Ativo,40h,8,2 Grau Completo ou Técnico,Tradutor Interprete de Linguagem Sinais                     ,Classe D (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,3
2018-12-11 19:33:05.023159,Ativo,40h,12,Especialização,Tradutor Interprete de Linguagem Sinais                     ,Classe D (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,6
2018-12-11 19:33:05.023159,Ativo,40h,13,Mestrado,Tradutor Interprete de Linguagem Sinais                     ,Classe D (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,4
2018-12-11 19:33:05.023159,Ativo,40h,14,Doutorado,Tradutor Interprete de Linguagem Sinais                     ,Classe D (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,6,1 Grau Completo - Até 8 Série Completo,Vidraceiro                                                  ,Classe B (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,3,1 Grau Incompleto até 4 Série Incompleta,Vigilante                                                   ,Classe D (PCCTAE),Técnico-Administrativo em Educação,REITORIA,REITORIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,DE,12,Especialização,PROFESSOR DO MAGISTÉRIO SUPERIOR                            ,Professor Ensino Superior,Docente,CCR,CENTRO DE CIÊNCIAS RURAIS,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,DE,13,Mestrado,PROFESSOR DO MAGISTÉRIO SUPERIOR                            ,Professor Ensino Superior,Docente,CCR,CENTRO DE CIÊNCIAS RURAIS,Regime Jurídico Único,5
2018-12-11 19:33:05.023159,Ativo,DE,14,Doutorado,PROFESSOR DO MAGISTÉRIO SUPERIOR                            ,Professor Ensino Superior,Docente,CCR,CENTRO DE CIÊNCIAS RURAIS,Regime Jurídico Único,185
2018-12-11 19:33:05.023159,Ativo,DE,14,Doutorado,PROFESSOR MAGISTÉRIO SUPERIOR - VISITANTE                   ,Professor Ensino Superior,Docente,CCR,CENTRO DE CIÊNCIAS RURAIS,Substitutos e  Visitantes,2
2018-12-11 19:33:05.023159,Ativo,DE,14,Doutorado,PROFESSOR DO MAGISTÉRIO SUPERIOR                            ,Professor Ensino Superior,Docente,FREDERICO,CAMPUS DA UNIVERSIDADE FEDERAL DE SANTA MARIA - FREDERICO WESTPHALEN,Regime Jurídico Único,81
2018-12-11 19:33:05.023159,Ativo,DE,14,Doutorado,"PROFESSOR ENSINO BÁSICO, TÉCNICO E TECNOLÓGICO              ",Magistério do Ensino Básico Técnico e Tecnológico,Docente,FREDERICO,CAMPUS DA UNIVERSIDADE FEDERAL DE SANTA MARIA - FREDERICO WESTPHALEN,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,DE,14,Doutorado,PROFESSOR TITULAR-LIVRE - MAGIST SUPERIOR                   ,Professor Ensino Superior,Docente,FREDERICO,CAMPUS DA UNIVERSIDADE FEDERAL DE SANTA MARIA - FREDERICO WESTPHALEN,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,DE,14,Doutorado,PROFESSOR DO MAGISTÉRIO SUPERIOR                            ,Professor Ensino Superior,Docente,HUSM,HOSPITAL UNIVERSITÁRIO DE SANTA MARIA - HUSM,Regime Jurídico Único,6
2018-12-11 19:33:05.023159,Ativo,DE,14,Doutorado,PROFESSOR DO MAGISTÉRIO SUPERIOR                            ,Professor Ensino Superior,Docente,IPE,UNIDADE DE EDUCAÇÃO INFANTIL IPÊ AMARELO - UEIIA,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,DE,13,Mestrado,"PROFESSOR ENSINO BÁSICO, TÉCNICO E TECNOLÓGICO              ",Magistério do Ensino Básico Técnico e Tecnológico,Docente,IPE,UNIDADE DE EDUCAÇÃO INFANTIL IPÊ AMARELO - UEIIA,Regime Jurídico Único,5
2018-12-11 19:33:05.023159,Ativo,DE,14,Doutorado,"PROFESSOR ENSINO BÁSICO, TÉCNICO E TECNOLÓGICO              ",Magistério do Ensino Básico Técnico e Tecnológico,Docente,IPE,UNIDADE DE EDUCAÇÃO INFANTIL IPÊ AMARELO - UEIIA,Regime Jurídico Único,2
2018-12-11 19:33:05.023159,Ativo,DE,13,Mestrado,PROFESSOR DO MAGISTÉRIO SUPERIOR                            ,Professor Ensino Superior,Docente,PALMEIRA,CAMPUS DE PALMEIRA DAS MISSÕES,Regime Jurídico Único,4
2018-12-11 19:33:05.023159,Ativo,40h,12,Especialização,Assistente de Laboratório                                   ,Classe C (PCCTAE),Técnico-Administrativo em Educação,CCR,CENTRO DE CIÊNCIAS RURAIS,Regime Jurídico Único,2
2018-12-11 19:33:05.023159,Ativo,40h,13,Mestrado,Assistente de Laboratório                                   ,Classe C (PCCTAE),Técnico-Administrativo em Educação,CCR,CENTRO DE CIÊNCIAS RURAIS,Regime Jurídico Único,4
2018-12-11 19:33:05.023159,Ativo,40h,8,2 Grau Completo ou Técnico,Assistente em Administração                                 ,Classe D (PCCTAE),Técnico-Administrativo em Educação,CCR,CENTRO DE CIÊNCIAS RURAIS,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,9,Superior Incompleto,Assistente em Administração                                 ,Classe D (PCCTAE),Técnico-Administrativo em Educação,CCR,CENTRO DE CIÊNCIAS RURAIS,Regime Jurídico Único,3
2018-12-11 19:33:05.023159,Ativo,40h,10,Sup. Compl. ou Habilitação Legal Eq.,Assistente em Administração                                 ,Classe D (PCCTAE),Técnico-Administrativo em Educação,CCR,CENTRO DE CIÊNCIAS RURAIS,Regime Jurídico Único,10
2018-12-11 19:33:05.023159,Ativo,40h,3,1 Grau Incompleto até 4 Série Incompleta,Operador de Máquinas Agrícolas                              ,Classe C (PCCTAE),Técnico-Administrativo em Educação,CCR,CENTRO DE CIÊNCIAS RURAIS,Regime Jurídico Único,1
2018-12-11 19:33:05.023159,Ativo,40h,6,1 Grau Completo - Até 8 Série Completo,Operador de Máquinas Agrícolas                              ,Classe C (PCCTAE),Técnico-Administrativo em Educação,CCR,CENTRO DE CIÊNCIAS RURAIS,Regime Jurídico Único,1
